time, node0_(3), node0_(2), node1_(3), node1_(2), node2_(3), node2_(2), node3_(3), node3_(2)
168, 42, 82, 28, 0, 0, 0, 0, 0
169, 42, 82, 28, 0, 0, 0, 0, 0
170, 42, 82, 28, 0, 0, 0, 0, 0
171, 44, 84, 28, 0, 0, 0, 0, 0
172, 47, 87, 28, 0, 0, 0, 0, 0
173, 48, 88, 28, 0, 0, 0, 0, 0
174, 48, 88, 28, 0, 0, 0, 0, 0
175, 50, 90, 28, 0, 0, 0, 0, 0
176, 52, 92, 24, 0, 0, 0, 0, 0
177, 53, 93, 20, 0, 0, 0, 0, 0
178, 54, 94, 16, 0, 0, 0, 0, 0
179, 58, 98, 12, 0, 0, 0, 0, 0
180, 58, 96, 8, 2, 0, 0, 0, 0
181, 58, 94, 4, 4, 0, 0, 0, 0
182, 58, 92, 0, 6, 0, 0, 0, 0
183, 59, 87, 0, 10, 0, 2, 0, 0
184, 59, 81, 0, 14, 0, 4, 0, 0
185, 59, 75, 0, 18, 0, 4, 0, 0
186, 61, 71, 0, 22, 0, 4, 0, 0
187, 63, 67, 0, 26, 0, 4, 0, 0
188, 64, 62, 0, 30, 0, 4, 0, 0
189, 65, 61, 0, 30, 0, 4, 0, 0
190, 65, 59, 0, 30, 0, 4, 0, 0
191, 65, 57, 0, 30, 0, 4, 0, 0
192, 68, 58, 0, 30, 0, 4, 0, 0
193, 68, 56, 0, 30, 0, 4, 0, 0
194, 68, 54, 0, 30, 0, 4, 0, 0
195, 69, 53, 0, 30, 0, 4, 0, 0
196, 69, 51, 0, 30, 0, 4, 0, 0
197, 72, 52, 0, 30, 0, 4, 0, 0
198, 72, 50, 0, 30, 0, 4, 0, 0
199, 74, 50, 0, 30, 0, 4, 0, 0
200, 76, 50, 0, 30, 0, 4, 0, 0
201, 76, 48, 0, 30, 0, 4, 0, 0
202, 78, 48, 0, 30, 0, 4, 0, 0
203, 79, 47, 0, 22, 0, 8, 0, 0
204, 81, 51, 0, 14, 0, 8, 0, 0
205, 81, 53, 0, 6, 0, 8, 0, 0
206, 82, 56, 0, 0, 0, 10, 0, 0
207, 84, 58, 0, 0, 0, 8, 0, 0
208, 84, 58, 0, 0, 0, 6, 0, 0
209, 80, 58, 4, 0, 0, 4, 0, 0
210, 77, 59, 8, 0, 0, 2, 0, 0
211, 75, 61, 12, 0, 0, 2, 0, 0
212, 72, 62, 16, 0, 0, 2, 0, 0
213, 69, 63, 20, 0, 0, 2, 0, 0
214, 66, 64, 24, 0, 0, 2, 0, 0
215, 63, 65, 28, 0, 0, 2, 0, 0
216, 59, 65, 32, 0, 0, 2, 0, 0
217, 59, 65, 32, 0, 0, 2, 0, 0
218, 61, 67, 32, 0, 0, 2, 0, 0
219, 61, 67, 32, 0, 0, 2, 0, 0
220, 62, 68, 32, 0, 0, 2, 0, 0
221, 63, 69, 32, 0, 0, 2, 0, 0
222, 63, 69, 32, 0, 0, 2, 0, 0
223, 63, 69, 32, 0, 0, 2, 0, 0
224, 61, 71, 32, 0, 0, 2, 0, 0
225, 58, 72, 32, 0, 0, 2, 0, 0
226, 54, 72, 32, 0, 0, 2, 0, 0
227, 52, 74, 32, 0, 0, 2, 0, 0
228, 50, 76, 32, 0, 0, 2, 0, 0
229, 49, 79, 32, 0, 0, 2, 0, 0
230, 46, 80, 30, 0, 0, 2, 0, 0
231, 45, 83, 28, 0, 0, 2, 0, 0
232, 41, 83, 26, 0, 0, 2, 0, 0
233, 43, 85, 24, 0, 0, 2, 0, 0
234, 44, 86, 22, 0, 0, 2, 0, 0
235, 47, 89, 20, 0, 0, 2, 0, 0
236, 50, 92, 18, 0, 0, 2, 0, 0
237, 51, 91, 16, 2, 0, 2, 0, 0
238, 53, 91, 14, 4, 0, 2, 0, 0
239, 53, 89, 12, 6, 0, 2, 0, 0
240, 53, 87, 10, 8, 0, 2, 0, 0
241, 54, 86, 8, 10, 0, 2, 0, 0
242, 55, 85, 6, 12, 0, 2, 0, 0
243, 55, 83, 6, 14, 0, 2, 0, 0
244, 56, 82, 6, 16, 0, 2, 0, 0
245, 59, 83, 6, 18, 0, 2, 0, 0
246, 60, 82, 6, 20, 0, 2, 0, 0
247, 62, 82, 6, 22, 0, 2, 0, 0
248, 62, 80, 6, 24, 0, 2, 0, 0
249, 62, 78, 6, 26, 0, 2, 0, 0
250, 62, 76, 6, 28, 0, 2, 0, 0
